"GEO_ID","NAME","B01002_001E","B01002_001M","B01002_002E","B01002_002M","B01002_003E","B01002_003M"
"id","Geographic Area Name","Estimate!!Median age --!!Total:","Margin of Error!!Median age --!!Total:","Estimate!!Median age --!!Male","Margin of Error!!Median age --!!Male","Estimate!!Median age --!!Female","Margin of Error!!Median age --!!Female"
"1400000US53025010200","Census Tract 102, Grant County, Washington","39.9","4.5","38.6","5.1","42.1","6.1"
"1400000US53025010300","Census Tract 103, Grant County, Washington","38.6","7.8","42.9","11.9","34.9","7.0"
"1400000US53025010400","Census Tract 104, Grant County, Washington","34.5","2.7","34.5","3.1","34.4","5.4"
"1400000US53025010500","Census Tract 105, Grant County, Washington","38.1","6.2","33.6","6.5","43.6","7.2"
"1400000US53025010600","Census Tract 106, Grant County, Washington","23.9","3.6","22.7","4.6","25.2","4.0"
"1400000US53025010700","Census Tract 107, Grant County, Washington","41.7","4.6","38.3","2.8","44.0","1.8"
"1400000US53025010800","Census Tract 108, Grant County, Washington","31.0","4.8","28.8","5.6","31.7","4.7"
"1400000US53025010901","Census Tract 109.01, Grant County, Washington","38.3","4.6","39.6","4.8","36.0","4.5"
"1400000US53025010902","Census Tract 109.02, Grant County, Washington","32.5","2.7","29.1","4.6","37.7","8.3"
"1400000US53025011000","Census Tract 110, Grant County, Washington","36.3","4.0","33.0","5.8","38.3","3.3"
"1400000US53025011100","Census Tract 111, Grant County, Washington","31.4","2.3","32.6","2.7","29.8","3.7"
"1400000US53025011200","Census Tract 112, Grant County, Washington","38.9","3.3","39.0","5.8","38.9","3.1"
"1400000US53025011300","Census Tract 113, Grant County, Washington","35.2","4.1","39.6","5.9","29.9","6.3"
"1400000US53025011401","Census Tract 114.01, Grant County, Washington","32.4","2.8","33.2","3.2","31.4","3.0"
"1400000US53025011402","Census Tract 114.02, Grant County, Washington","25.6","2.4","26.5","3.1","24.9","2.6"
"1400000US53027000200","Census Tract 2, Grays Harbor County, Washington","60.1","1.2","60.2","1.5","60.1","1.6"
"1400000US53027000300","Census Tract 3, Grays Harbor County, Washington","52.3","5.9","49.3","6.4","55.7","4.1"
"1400000US53027000400","Census Tract 4, Grays Harbor County, Washington","43.6","3.3","41.5","2.8","44.6","2.0"
"1400000US53027000500","Census Tract 5, Grays Harbor County, Washington","37.1","2.9","39.4","4.5","35.6","2.9"
"1400000US53027000600","Census Tract 6, Grays Harbor County, Washington","46.3","3.0","45.5","3.5","47.4","3.5"
"1400000US53027000700","Census Tract 7, Grays Harbor County, Washington","47.1","2.8","47.5","2.9","46.0","4.0"
"1400000US53027000800","Census Tract 8, Grays Harbor County, Washington","47.9","5.7","41.6","7.1","48.6","3.7"
"1400000US53027000900","Census Tract 9, Grays Harbor County, Washington","35.8","3.2","39.1","5.9","34.7","4.1"
"1400000US53027001000","Census Tract 10, Grays Harbor County, Washington","30.9","3.6","30.4","2.1","34.1","4.2"
"1400000US53027001100","Census Tract 11, Grays Harbor County, Washington","47.1","2.7","42.6","5.4","49.3","5.0"
"1400000US53027001200","Census Tract 12, Grays Harbor County, Washington","34.7","4.7","30.2","3.6","38.9","5.8"
"1400000US53027001300","Census Tract 13, Grays Harbor County, Washington","42.8","5.6","38.9","8.0","43.6","7.5"
"1400000US53027001400","Census Tract 14, Grays Harbor County, Washington","43.9","6.0","45.3","8.8","38.7","10.2"
"1400000US53027001500","Census Tract 15, Grays Harbor County, Washington","44.0","4.0","39.2","5.7","50.3","6.2"
"1400000US53027001600","Census Tract 16, Grays Harbor County, Washington","45.9","3.4","43.4","2.0","54.6","5.7"
"1400000US53027940000","Census Tract 9400, Grays Harbor County, Washington","34.9","6.2","30.8","6.1","40.1","10.3"
"1400000US53027990000","Census Tract 9900, Grays Harbor County, Washington","-","**","-","**","-","**"
"1400000US53029970100","Census Tract 9701, Island County, Washington","43.8","9.3","43.6","5.2","50.4","13.6"
"1400000US53029970200","Census Tract 9702, Island County, Washington","22.7","0.5","22.5","0.5","23.3","1.9"
"1400000US53029970300","Census Tract 9703, Island County, Washington","46.1","7.1","48.4","10.1","44.6","7.0"
"1400000US53029970400","Census Tract 9704, Island County, Washington","32.5","3.9","31.1","3.9","33.9","5.0"
"1400000US53029970500","Census Tract 9705, Island County, Washington","40.3","2.1","38.7","4.6","40.9","5.2"
"1400000US53029970601","Census Tract 9706.01, Island County, Washington","28.9","1.9","28.8","2.1","29.9","4.8"
"1400000US53029970602","Census Tract 9706.02, Island County, Washington","32.5","2.9","32.6","3.2","32.4","10.0"
"1400000US53029970700","Census Tract 9707, Island County, Washington","31.1","4.9","27.8","3.4","36.3","5.2"
"1400000US53029970800","Census Tract 9708, Island County, Washington","37.4","2.6","37.8","4.8","37.3","4.0"
"1400000US53029970900","Census Tract 9709, Island County, Washington","26.1","0.9","25.5","1.7","26.4","0.6"
"1400000US53029971000","Census Tract 9710, Island County, Washington","51.7","3.2","47.1","8.9","54.6","2.0"
"1400000US53029971100","Census Tract 9711, Island County, Washington","59.7","3.1","54.4","3.7","60.8","1.4"
"1400000US53029971300","Census Tract 9713, Island County, Washington","58.6","3.3","59.1","5.0","58.1","3.4"
"1400000US53029971400","Census Tract 9714, Island County, Washington","55.9","3.1","54.7","3.4","57.6","3.9"
"1400000US53029971500","Census Tract 9715, Island County, Washington","53.6","6.6","47.8","8.3","56.6","4.1"
"1400000US53029971600","Census Tract 9716, Island County, Washington","50.7","2.8","49.5","4.1","52.6","4.5"
